car_id;car_band;car_num;car_valid_mes;car_valid_ano;car_nm;car_cli_cod
1;Visa;4106211198121309;9;2019;Itaucard;4001
2;MasterCard;4112220989167692;12;2022;TudoAzul;4002
3;Visa;4112312786933038;8;2013;EXTRA;4003
4;MasterCard;4114308125805107;4;2015;TAM;4004
5;Visa;4123708690470085;11;2022;Luiza;4005
6;MasterCard;4127610978949818;3;2019;Walmart;4006
7;Visa;4131036085262895;9;2016;TIM;4007
8;MasterCard;4131691210623839;10;2018;Ipiranga;4008
9;Visa;4132825589738787;2;2014;Ponto Frio;4009
10;MasterCard;4135997076425702;1;2017;VIVO;4010
11;Visa;4142577748838812;6;2020;Volkswagen;4011
12;MasterCard;4147385126538571;3;2013;FIAT;4012
13;Visa;4151698157191279;2;2017;P̣o de A̤̼car;4013
14;MasterCard;4151890085591001;6;2019;Ford;4014
15;Visa;4154959266120560;7;2019;Mitsubishi;4015
16;MasterCard;4166898997593673;10;2021;Americanas;4016
17;Visa;4167549101356415;4;2017;Submarino;4017
18;MasterCard;4189912974974140;3;2013;Itaucard;4018
19;Visa;4191424080822615;10;2013;TudoAzul;4019
20;MasterCard;4197939429711557;5;2014;EXTRA;4020
21;Visa;4198747665202242;4;2014;TAM;4021
22;MasterCard;4199896392878140;4;2017;Luiza;4022
23;Visa;4225015676766634;7;2013;Walmart;4023
24;MasterCard;4228302866825833;2;2013;TIM;4024
25;Visa;4230896421708160;6;2017;Ipiranga;4025
26;MasterCard;4234002085309470;4;2013;Ponto Frio;4026
27;Visa;4238279997045170;12;2013;VIVO;4027
28;MasterCard;4239948973106223;7;2017;Volkswagen;4028
29;Visa;4241026904713365;5;2021;FIAT;4029
30;MasterCard;4245938285905867;1;2022;P̣o de A̤̼car;4030
31;Visa;4247331617632886;3;2021;Ford;4031
32;MasterCard;4256550679309299;8;2021;Mitsubishi;4032
33;Visa;4258570160157977;10;2015;Americanas;4033
34;MasterCard;4261384694278243;11;2018;Submarino;4034
35;Visa;4265236053895201;5;2018;Itaucard;4035
36;MasterCard;4266541744442658;7;2020;TudoAzul;4036
37;Visa;4267097340151663;5;2018;EXTRA;4037
38;MasterCard;4276883392315358;10;2013;TAM;4038
39;Visa;4277562291268255;9;2020;Luiza;4039
40;MasterCard;4281621498195453;8;2022;Walmart;4040
41;Visa;4284887919155884;1;2013;TIM;4041
42;MasterCard;4287179056229067;3;2018;Ipiranga;4042
43;Visa;4288830216554922;3;2018;Ponto Frio;4043
44;MasterCard;4296539834514261;10;2013;VIVO;4044
45;Visa;4296691062487664;1;2013;Volkswagen;4045
46;MasterCard;4304418586287640;10;2018;FIAT;4046
47;Visa;4310967033216721;3;2020;P̣o de A̤̼car;4047
48;MasterCard;4313403357006600;8;2022;Ford;4048
49;Visa;4324084684858090;7;2020;Mitsubishi;4049
50;MasterCard;4329167194757614;11;2020;Americanas;4050
51;Visa;4334877440473066;6;2013;Submarino;4051
52;MasterCard;4342452309699722;8;2014;Itaucard;4052
53;Visa;4347128738183523;7;2021;TudoAzul;4053
54;MasterCard;4351063981791958;1;2021;EXTRA;4054
55;Visa;4352992740273477;4;2016;TAM;4055
56;MasterCard;4355902717448777;2;2022;Luiza;4056
57;Visa;4370068622473622;8;2015;Walmart;4057
58;MasterCard;4373047704249626;11;2021;TIM;4058
59;Visa;4377432577451695;12;2018;Ipiranga;4059
60;MasterCard;4385318754334006;6;2018;Ponto Frio;4060
61;Visa;4387800617422900;12;2020;VIVO;4061
62;MasterCard;4410153576545415;3;2022;Volkswagen;4062
63;Visa;4417996694752942;5;2020;FIAT;4063
64;MasterCard;4419393893051898;4;2013;P̣o de A̤̼car;4064
65;Visa;4423778207181023;10;2013;Ford;4065
66;MasterCard;4428436977509403;1;2019;Mitsubishi;4066
67;Visa;4430219305399802;1;2018;Americanas;4067
68;MasterCard;4442845887737340;11;2015;Submarino;4068
69;Visa;4445796824339778;4;2021;Itaucard;4069
70;MasterCard;4450629749242217;12;2022;TudoAzul;4070
71;Visa;4452811052370811;1;2013;EXTRA;4071
72;MasterCard;4458341661328440;9;2015;TAM;4072
73;Visa;4459386852802708;4;2013;Luiza;4073
74;MasterCard;4474405511701474;9;2020;Walmart;4074
75;Visa;4493615601630887;4;2018;TIM;4075
76;MasterCard;4499161566235127;12;2021;Ipiranga;4076
77;Visa;4500683248788111;7;2021;Ponto Frio;4077
78;MasterCard;4503777502942831;6;2022;VIVO;4078
79;Visa;4507344315387300;11;2017;Volkswagen;4079
80;MasterCard;4518991497484969;2;2015;FIAT;4080
81;Visa;4520267120050267;9;2013;P̣o de A̤̼car;4081
82;MasterCard;4522411733493201;4;2019;Ford;4082
83;Visa;4524099831609057;11;2016;Mitsubishi;4083
84;MasterCard;4525452744541688;7;2021;Americanas;4084
85;Visa;4534872784139585;5;2015;Submarino;4085
86;MasterCard;4546641086414451;5;2019;Itaucard;4086
87;Visa;4569199116341766;10;2016;TudoAzul;4087
88;MasterCard;4569624351244415;9;2015;EXTRA;4088
89;Visa;4571836578566582;6;2021;TAM;4089
90;MasterCard;4574850307358420;3;2015;Luiza;4090
91;Visa;4581213874230160;7;2014;Walmart;4091
92;MasterCard;4581771594332537;8;2013;TIM;4092
93;Visa;4581916002370415;3;2014;Ipiranga;4093
94;MasterCard;4584792291419584;12;2014;Ponto Frio;4094
95;Visa;4584943749476221;5;2016;VIVO;4095
96;MasterCard;4586066331062462;12;2015;Volkswagen;4096
97;Visa;4588382801599802;11;2015;FIAT;4097
98;MasterCard;4594375742925338;11;2014;P̣o de A̤̼car;4098
99;Visa;4598465131409467;8;2021;Ford;4099
100;MasterCard;4600207927310834;12;2013;Mitsubishi;4100
101;Visa;4607170237414533;2;2022;Americanas;4101
102;MasterCard;4612601251341403;4;2016;Submarino;4102
103;Visa;4615932983253153;1;2018;Itaucard;4103
104;MasterCard;4616345980158078;6;2013;TudoAzul;4104
105;Visa;4618086872110142;7;2017;EXTRA;4105
